Temp,Turbidity (cm),DO(mg/L),BOD (mg/L),pH,Ammonia (mg L-1 ),Nitrite (mg L-1 ),Water Quality
"76,59","96,96","2,991","12,829","10,378","0,962","4,306",2
"7,16","13,61","12,192","14,245","14,515","0,351","2,673",2
"71,36","88,52","11,046","8,697","10,792","0,535","4,731",2
"2,85","91,92","12,986","6,186","3,715","0,105","2,660",2
"5,97","94,33","0,422","12,172","9,814","0,640","3,601",2
"69,82","84,08","1,738","14,780","2,311","0,296","3,031",2
"5,51","94,41","13,449","8,278","10,384","0,347","3,493",2
"68,77","92,67","12,984","9,376","0,295","0,137","2,832",2
"3,09","12,43","2,128","12,823","12,146","0,185","2,453",2
"74,04","3,11","2,977","9,473","10,131","0,193","2,869",2
"6,54","11,35","10,166","9,247","2,375","0,347","2,208",2
"11,18","85,14","10,769","13,113","11,774","0,867","3,688",2
"3,45","10,29","10,458","12,833","2,698","0,667","3,632",2
"1,07","97,97","1,826","6,630","4,180","0,773","2,054",2
"60,92","3,98","14,970","8,627","10,751","0,170","4,586",2
"73,81","5,06","11,513","13,620","2,388","0,778","3,235",2
"4,55","5,58","9,918","6,215","12,179","0,551","2,685",2
"3,22","1,34","1,606","12,759","11,245","0,860","3,315",2
"1,30","82,43","2,761","11,824","13,345","0,671","2,439",2
"0,19","10,43","2,405","11,651","5,458","0,457","3,751",2
"12,56","92,03","0,713","7,862","12,916","0,796","4,975",2
"70,24","4,58","0,237","12,940","0,541","0,268","2,267",2
"61,52","98,99","1,073","9,020","13,380","0,763","3,779",2
"72,54","93,23","1,956","14,943","11,836","0,460","4,925",2
"14,66","3,07","13,162","7,634","5,352","0,777","4,696",2
"11,66","93,59","10,100","11,065","10,954","0,200","2,820",2
"77,29","89,88","9,480","7,119","2,508","0,368","3,939",2
"2,62","89,70","14,172","11,180","10,096","0,737","2,394",2
"8,58","5,69","9,082","12,189","0,051","0,414","4,178",2
"10,05","86,33","13,784","7,211","14,809","0,125","3,311",2
"14,79","13,08","1,303","10,686","11,128","0,094","3,620",2
"9,19","11,95","1,376","11,379","2,815","0,269","2,373",2
"63,64","14,02","0,930","7,302","1,834","0,784","2,932",2
"64,69","8,46","1,408","14,250","14,547","0,799","3,558",2
"84,25","94,73","12,903","11,616","14,253","0,666","3,576",2
"67,45","20,68","7,378","3,053","9,131","0,043","0,533",2
"64,63","19,79","7,155","4,534","9,335","0,026","0,228",2
"65,12","18,10","5,334","4,144","9,179","0,040","0,247",2
"1,64","26,34","6,376","2,338","6,437","0,034","0,432",2
"64,86","29,29","5,851","2,918","9,219","0,036","0,247",2
"3,01","21,33","6,499","4,938","9,215","0,050","0,023",2
"70,60","28,17","7,515","5,884","6,308","0,026","0,824",2
"80,86","16,87","5,154","2,497","6,389","0,025","0,452",2
"81,20","26,11","7,259","2,534","9,296","0,030","0,464",2
"1,10","19,22","6,466","4,629","6,175","0,031","1,201",2
"13,83","20,58","6,784","4,857","9,126","0,048","1,708",2
"12,26","29,77","6,085","3,397","9,478","0,044","1,611",2
"3,72","25,86","6,954","2,989","9,490","0,040","0,054",2
"75,79","29,79","6,299","4,524","6,076","0,048","2,000",2
"60,66","24,21","5,003","5,670","9,008","0,042","1,916",2
"10,87","18,44","6,977","2,872","6,203","0,049","0,828",2
"83,63","18,48","7,247","4,538","9,178","0,032","0,295",2
"62,16","20,40","6,636","2,183","9,066","0,045","1,226",2
"80,50","16,32","5,184","5,262","9,232","0,033","0,680",2
"3,80","17,55","6,097","3,732","9,123","0,034","0,474",2
"74,83","26,61","5,943","2,157","9,071","0,049","1,544",2
"3,76","21,81","5,371","4,129","9,276","0,047","1,980",2
"78,97","21,54","7,773","3,120","6,245","0,027","1,005",2
"64,00","15,25","5,546","4,147","6,265","0,031","1,450",2
"4,97","20,96","5,906","2,738","9,436","0,034","0,713",2
"6,43","25,43","6,155","5,874","6,121","0,047","1,557",2
"10,09","26,76","5,984","3,363","9,279","0,029","0,327",2
"63,78","25,30","7,830","5,068","6,148","0,026","0,105",2
"0,88","28,43","5,635","5,962","6,270","0,047","0,065",2
"9,38","21,09","7,544","4,185","9,223","0,038","0,176",2
"2,82","22,30","7,008","2,820","9,202","0,042","0,502",2
"72,76","28,70","5,666","3,007","9,061","0,030","1,475",2
"67,85","23,57","7,420","5,691","9,309","0,047","1,944",2
"0,78","25,78","7,767","5,840","9,174","0,029","0,318",2
"14,59","24,64","7,371","2,893","9,055","0,041","1,867",2
"0,41","23,86","6,768","5,535","6,307","0,043","0,662",2
"68,45","26,14","5,717","2,100","9,111","0,046","0,868",2
"65,26","26,72","5,603","4,936","9,388","0,026","0,088",2
"80,05","18,25","5,389","4,026","6,431","0,040","0,073",2
"0,85","29,42","5,511","5,160","9,487","0,036","1,200",2
"82,18","18,37","5,665","2,579","6,167","0,036","0,503",2
"72,07","23,64","5,367","3,692","6,426","0,041","1,103",2
"72,27","23,27","5,624","4,490","9,424","0,028","0,044",2
"82,77","24,77","6,589","2,404","6,313","0,028","1,645",2
"6,60","26,03","7,318","2,860","9,488","0,042","0,790",2
"69,52","20,37","7,845","5,958","6,123","0,041","1,869",2
"78,26","22,01","5,260","5,844","6,220","0,039","0,123",2
"84,02","29,82","6,246","4,618","6,049","0,039","0,320",2
"5,86","21,39","6,892","5,150","6,365","0,043","1,351",2
"63,30","25,60","7,678","4,282","6,337","0,049","0,154",2
"1,73","42,19","3,505","1,734","8,458","0,012","0,006",2
"2,73","38,39","4,199","1,754","8,287","0,010","0,001",2
"71,71","62,22","3,483","1,063","8,166","0,008","0,016",2
"69,34","30,63","3,678","1,778","7,418","0,019","0,004",2
"12,59","30,54","4,329","1,017","6,948","0,003","0,009",2
"78,83","50,68","3,114","1,349","7,607","0,013","0,008",2
"7,06","46,17","4,978","1,668","8,534","0,021","0,011",2
"10,80","47,23","4,808","1,583","6,877","0,009","0,008",2
"81,92","42,21","4,588","1,794","6,552","0,009","0,009",2
"10,01","50,49","3,170","1,080","8,522","0,024","0,003",2
"77,93","32,41","4,856","1,076","7,382","0,008","0,004",2
"76,17","77,41","4,112","1,499","7,053","0,006","0,001",2
"82,00","31,85","3,584","1,175","8,528","0,023","0,011",2
"14,84","56,70","3,025","1,088","6,761","0,017","0,014",2
"4,98","56,19","3,837","1,212","7,133","0,010","0,000",2
"76,59","34,33","4,999","1,552","8,513","0,010","0,008",2
"7,16","41,59","4,347","1,089","7,262","0,012","0,004",2
"71,36","49,17","4,100","1,076","8,255","0,008","0,019",2
"2,85","51,24","4,544","1,940","8,197","0,024","0,007",2
"5,97","68,68","3,639","1,508","7,203","0,022","0,018",2
"69,82","72,65","4,379","1,983","6,987","0,013","0,002",2
"5,51","77,29","3,730","1,719","7,174","0,003","0,000",2
"68,77","35,91","3,147","1,713","6,898","0,014","0,001",2
"3,09","39,39","4,836","1,294","7,152","0,010","0,003",2
"74,04","35,46","3,206","1,945","6,789","0,015","0,013",2
"6,54","52,72","4,497","1,406","7,870","0,001","0,016",2
"11,18","40,11","4,569","1,099","8,150","0,017","0,007",2
"3,45","44,17","3,706","1,040","7,603","0,019","0,009",2
"1,07","47,01","3,042","1,395","7,723","0,020","0,008",2
"60,92","60,52","3,033","1,598","8,881","0,022","0,018",2
"73,81","62,83","3,678","1,011","6,994","0,017","0,019",2
"4,55","78,98","4,441","1,300","8,593","0,023","0,004",2
"3,22","51,19","4,803","1,347","7,247","0,022","0,016",2
"1,30","71,77","3,947","1,688","8,108","0,016","0,009",2
"0,19","39,47","3,111","1,337","7,702","0,010","0,010",2
"12,56","49,56","3,816","1,127","6,653","0,013","0,019",2
"70,24","58,11","3,672","1,533","7,708","0,001","0,003",2
"61,52","77,84","3,608","1,904","8,095","0,003","0,014",2
"72,54","32,21","3,593","1,283","7,463","0,014","0,007",2
"14,66","33,23","4,943","1,528","7,155","0,025","0,002",2
"11,66","75,42","4,151","1,795","8,020","0,009","0,006",2
"77,29","64,70","3,475","1,305","7,542","0,023","0,015",2
"2,62","72,71","4,823","1,015","7,411","0,012","0,016",2
"8,58","68,62","3,076","1,745","6,625","0,011","0,014",2
"10,05","77,90","4,114","1,285","7,762","0,024","0,002",2
"14,79","49,13","4,349","1,928","8,051","0,016","0,008",2
"9,19","51,05","4,865","1,006","8,867","0,021","0,018",2
"63,64","43,04","4,977","1,472","8,366","0,008","0,008",2
"64,69","54,87","3,345","1,138","8,713","0,014","0,002",2
"84,25","30,48","3,006","1,286","7,626","0,016","0,005",2
"32,00","10,13","6,660","5,408","9,360","0,030","1,803",2
"30,53","94,02","6,916","4,061","6,429","0,037","0,433",2
"33,56","90,65","5,779","5,252","9,198","0,038","0,135",2
"33,44","0,07","5,972","2,884","6,050","0,029","0,903",2
"31,04","2,12","6,117","2,597","6,361","0,026","1,865",2
"33,84","10,47","6,685","4,307","6,144","0,031","0,215",2
"18,10","4,41","5,114","2,256","6,041","0,036","1,150",2
"16,29","96,61","7,628","3,217","9,330","0,039","1,688",2
"30,16","11,52","7,031","3,754","6,231","0,031","1,945",2
"32,94","10,59","7,626","4,557","9,267","0,039","0,407",2
"31,01","92,04","5,591","3,020","9,481","0,027","0,270",2
"17,81","9,29","6,333","4,027","9,158","0,026","1,461",2
"19,32","81,15","6,131","5,341","6,080","0,028","0,616",2
"16,38","97,40","5,100","4,555","9,267","0,028","0,905",2
"34,57","87,80","5,296","2,208","9,323","0,026","0,163",2
"16,86","4,13","5,143","5,500","6,376","0,035","1,006",2
"30,55","98,83","7,657","4,219","9,314","0,032","0,581",2
"33,77","95,23","5,948","5,292","9,064","0,031","1,788",2
"17,12","9,71","5,924","3,699","9,476","0,046","0,879",2
"31,47","86,07","5,338","2,800","6,298","0,029","0,190",2
"33,52","82,16","5,324","2,642","9,341","0,035","0,414",2
"31,81","1,34","6,814","2,754","6,456","0,045","1,148",2
"17,42","1,65","5,590","5,971","9,063","0,040","0,645",2
"15,79","12,32","5,725","2,977","9,417","0,042","0,814",2
"19,30","81,75","6,521","2,156","9,335","0,040","1,188",2
"30,30","84,36","5,248","2,577","6,386","0,039","0,850",2
"33,38","90,29","7,482","5,702","9,222","0,046","1,514",2
"16,99","8,54","6,700","3,203","6,233","0,035","1,750",2
"19,68","5,24","6,270","3,742","9,258","0,042","0,507",2
"18,01","11,70","7,427","4,044","9,473","0,032","0,129",2
"31,31","10,01","5,629","4,669","9,483","0,049","0,895",2
"31,26","0,18","5,172","2,712","6,240","0,043","0,108",2
"34,31","94,66","6,652","2,756","9,264","0,042","1,699",2
"18,99","10,52","6,501","5,623","9,179","0,028","0,440",2
"34,58","85,45","6,422","2,349","6,013","0,028","1,394",2
"17,93","12,22","6,389","4,589","9,187","0,032","1,569",2
"33,44","86,32","7,459","5,171","6,019","0,046","1,396",2
"31,54","13,21","5,518","5,263","6,441","0,036","1,478",2
"32,08","0,05","7,601","3,594","6,066","0,037","0,323",2
"16,25","93,38","6,618","5,231","6,323","0,030","0,469",2
"17,39","12,71","5,274","3,137","6,226","0,031","0,591",2
"18,98","90,76","6,905","4,564","6,154","0,027","0,640",2
"16,21","5,55","6,657","5,758","6,401","0,047","0,408",2
"31,33","2,24","7,291","5,022","9,275","0,047","0,382",2
"18,70","81,67","6,022","4,274","6,147","0,049","1,975",2
"33,45","5,57","7,924","3,692","6,318","0,047","1,972",2
"19,58","97,17","6,498","4,408","9,313","0,033","0,127",2
"18,69","90,40","6,809","4,644","9,418","0,044","1,297",2
"16,06","0,54","6,491","2,592","9,444","0,034","1,723",2
"15,30","93,30","6,953","4,103","9,160","0,043","1,859",2
"27,22","95,56","3,246","1,538","7,943","0,020","0,013",2
"23,87","12,31","3,329","1,338","8,056","0,011","0,017",2
"29,31","86,44","4,143","1,814","7,098","0,001","0,007",2
"24,72","86,47","4,135","1,523","6,825","0,020","0,019",2
"25,24","90,30","4,515","1,186","7,134","0,020","0,003",2
"20,35","10,97","3,221","1,880","7,081","0,017","0,016",2
"22,22","99,80","4,471","1,056","7,125","0,024","0,014",2
"28,08","98,41","4,066","1,537","7,013","0,010","0,013",2
"21,11","93,75","3,928","1,631","8,473","0,003","0,011",2
"24,41","90,88","4,189","1,880","7,663","0,016","0,000",2
"26,77","11,54","4,966","1,754","6,700","0,022","0,017",2
"24,60","6,71","3,730","1,374","6,641","0,004","0,015",2
"20,20","8,12","3,551","1,847","8,121","0,013","0,002",2
"26,90","88,66","3,656","1,494","6,797","0,012","0,018",2
"22,27","8,99","4,776","1,132","7,746","0,007","0,007",2
"22,18","96,96","4,552","1,461","8,047","0,020","0,003",2
"20,80","13,61","3,463","1,115","7,067","0,011","0,016",2
"25,41","88,52","4,301","1,288","8,906","0,002","0,011",2
"25,94","91,92","3,064","1,405","8,375","0,004","0,006",2
"20,74","94,33","4,950","1,070","7,471","0,013","0,008",2
"21,82","84,08","3,230","1,391","7,235","0,007","0,015",2
"24,13","94,41","3,285","1,765","8,746","0,011","0,008",2
"21,68","92,67","4,438","1,935","7,465","0,020","0,007",2
"28,82","12,43","3,656","1,939","6,530","0,021","0,003",2
"29,10","3,11","4,356","1,310","6,834","0,014","0,008",2
"24,31","11,35","3,203","1,648","8,081","0,020","0,012",2
"21,31","85,14","4,120","1,919","7,879","0,009","0,007",2
"25,07","10,29","3,246","1,646","7,132","0,001","0,005",2
"27,96","97,97","3,502","1,183","7,492","0,021","0,005",2
"25,99","3,98","4,140","1,850","6,936","0,008","0,017",2
"26,80","5,06","3,018","1,978","8,406","0,010","0,011",2
"24,67","5,58","3,937","1,325","8,483","0,019","0,013",2
"27,12","1,34","3,588","1,254","7,696","0,024","0,005",2
"22,89","82,43","3,519","1,569","6,714","0,003","0,018",2
"20,29","10,43","4,039","1,733","8,045","0,016","0,019",2
"24,99","92,03","4,002","1,629","8,929","0,002","0,009",2
"21,95","4,58","3,129","1,028","7,753","0,011","0,018",2
"29,64","98,99","3,970","1,296","7,690","0,024","0,017",2
"27,63","93,23","4,639","1,121","8,998","0,015","0,003",2
"26,13","3,07","4,319","1,144","8,293","0,002","0,000",2
"23,86","93,59","3,388","1,733","7,674","0,007","0,008",2
"29,11","89,88","4,918","1,461","6,548","0,018","0,007",2
"25,36","89,70","4,908","1,534","7,788","0,024","0,015",2
"27,50","5,69","4,814","1,289","8,243","0,008","0,003",2
"24,08","86,33","3,762","1,840","6,687","0,010","0,019",2
"23,41","13,08","4,284","1,159","6,705","0,017","0,004",2
"27,47","11,95","4,641","1,023","8,059","0,000","0,010",2
"28,05","14,02","3,834","1,599","7,533","0,011","0,014",2
"23,94","8,46","4,436","1,648","7,547","0,015","0,015",2
"27,75","94,73","4,665","1,489","7,850","0,022","0,013",2
"17,50","24,78","0,208","5,832","9,163","0,030","0,686",2
"17,79","19,23","11,434","2,948","9,020","0,032","1,097",2
"17,92","21,77","12,431","5,230","9,212","0,039","1,493",2
"17,80","16,12","10,964","2,312","6,467","0,028","1,012",2
"31,31","23,24","1,362","2,304","9,031","0,043","0,081",2
"16,01","18,11","12,704","4,563","9,078","0,050","0,757",2
"34,10","22,93","14,786","3,023","6,314","0,030","0,850",2
"18,96","27,85","0,716","3,118","9,204","0,031","0,317",2
"16,85","21,93","2,211","2,526","9,471","0,047","0,373",2
"17,74","17,85","8,637","3,114","9,390","0,035","0,690",2
"34,41","16,35","1,994","5,624","9,427","0,025","1,821",2
"31,86","21,18","1,806","2,118","9,082","0,033","1,846",2
"34,53","18,36","10,363","2,577","9,162","0,027","0,956",2
"16,40","28,67","10,910","5,361","6,408","0,039","1,365",2
"31,79","15,83","0,551","5,436","9,170","0,041","0,572",2
"34,54","22,56","1,614","5,305","9,352","0,036","1,650",2
"15,65","26,22","0,527","4,545","9,425","0,026","1,449",2
"30,13","20,59","9,979","3,091","6,205","0,047","1,850",2
"33,00","23,54","14,300","4,078","6,220","0,040","1,492",2
"32,50","19,70","2,668","2,835","6,293","0,047","0,700",2
"19,49","19,39","1,251","2,866","9,258","0,040","0,131",2
"19,67","16,02","8,427","2,789","6,173","0,025","1,103",2
"33,82","20,19","0,945","2,824","6,060","0,028","1,233",2
"16,46","29,81","14,799","4,631","6,213","0,038","1,081",2
"19,56","17,06","2,161","4,332","9,264","0,036","1,879",2
"33,16","24,56","9,609","5,848","6,230","0,038","0,099",2
"19,82","22,36","2,628","5,988","6,483","0,035","0,322",2
"17,11","23,69","11,642","4,305","9,301","0,046","1,389",2
"34,69","24,10","1,721","3,803","6,061","0,038","0,816",2
"15,42","19,28","1,317","3,616","6,121","0,045","0,596",2
"31,67","17,96","0,842","5,267","9,342","0,026","1,485",2
"19,90","21,55","10,964","3,541","6,389","0,040","0,227",2
"34,69","21,39","0,974","4,395","9,413","0,029","1,467",2
"19,28","26,00","10,409","2,113","6,101","0,040","1,463",2
"33,52","22,81","1,231","5,399","6,425","0,033","0,387",2
"32,45","17,81","0,753","5,343","9,107","0,040","0,139",2
"31,30","21,71","0,728","3,247","9,489","0,049","1,099",2
"16,87","19,18","1,220","2,431","9,012","0,027","1,208",2
"32,94","28,80","2,772","2,813","6,302","0,038","1,349",2
"32,09","29,45","11,107","2,246","6,483","0,034","1,199",2
"34,79","27,02","12,109","2,267","6,359","0,033","0,954",2
"33,90","27,42","0,636","2,396","9,063","0,030","1,377",2
"32,51","18,52","13,818","5,747","9,304","0,049","0,876",2
"32,56","23,68","2,912","4,413","9,355","0,028","1,144",2
"30,64","22,80","13,372","5,452","6,270","0,042","1,447",2
"17,31","27,34","0,969","3,113","6,348","0,035","1,674",2
"17,05","25,53","2,715","4,054","9,229","0,033","1,962",2
"15,74","23,75","11,408","4,001","9,450","0,033","1,634",2
"31,72","22,18","0,134","5,734","9,288","0,026","0,087",2
"33,74","20,60","0,440","4,640","9,350","0,047","0,708",2
"25,08","79,57","13,648","1,993","6,687","0,015","0,006",2
"23,94","37,80","0,593","1,513","7,926","0,019","0,019",2
"23,83","53,72","11,011","1,383","8,577","0,010","0,007",2
"28,83","53,96","2,335","1,546","7,241","0,022","0,004",2
"27,30","51,20","9,792","1,074","8,110","0,016","0,012",2
"27,66","54,37","13,733","1,833","6,845","0,015","0,010",2
"24,89","79,71","10,476","1,254","8,611","0,001","0,005",2
"24,08","34,07","8,905","1,170","8,560","0,016","0,019",2
"28,74","30,69","14,053","1,471","8,382","0,010","0,010",2
"22,48","79,33","2,870","1,232","8,792","0,005","0,018",2
"20,17","77,51","14,248","1,305","7,628","0,012","0,003",2
"20,97","69,21","14,468","1,498","8,265","0,017","0,006",2
"28,08","33,71","12,987","1,843","8,191","0,007","0,008",2
"29,82","50,88","0,244","1,824","7,518","0,017","0,008",2
"24,95","47,96","10,407","1,057","8,774","0,024","0,019",2
"24,30","79,33","2,991","1,144","8,654","0,011","0,004",2
"26,96","76,95","12,192","1,257","7,087","0,007","0,015",2
"22,19","30,77","11,046","1,890","7,912","0,020","0,019",2
"20,76","53,66","12,986","1,248","7,751","0,010","0,011",2
"24,61","74,91","0,422","1,373","8,869","0,015","0,002",2
"23,84","37,18","1,738","1,309","6,541","0,004","0,001",2
"22,41","42,29","13,449","1,426","7,274","0,006","0,013",2
"27,60","36,57","12,984","1,127","8,916","0,022","0,004",2
"29,65","65,15","2,128","1,777","8,621","0,003","0,015",2
"20,95","46,50","2,977","1,208","6,748","0,007","0,007",2
"27,80","35,17","10,166","1,791","6,604","0,006","0,009",2
"21,89","41,07","10,769","1,853","8,773","0,007","0,009",2
"20,09","72,51","10,458","1,005","7,885","0,000","0,007",2
"24,10","69,41","1,826","1,823","8,606","0,003","0,014",2
"21,41","39,28","14,970","1,284","7,284","0,016","0,013",2
"25,33","49,74","11,513","1,110","7,800","0,017","0,002",2
"25,58","42,98","9,918","1,419","6,988","0,025","0,001",2
"26,93","59,94","1,606","1,160","6,533","0,022","0,009",2
"28,76","63,39","2,761","1,056","8,866","0,001","0,019",2
"20,20","33,82","2,405","1,765","7,835","0,018","0,002",2
"26,87","49,63","0,713","1,861","6,751","0,002","0,000",2
"29,86","41,58","0,237","1,792","7,628","0,020","0,014",2
"29,86","77,31","1,073","1,297","8,371","0,002","0,015",2
"24,56","47,97","1,956","1,864","7,830","0,016","0,005",2
"23,48","44,54","13,162","1,732","8,821","0,016","0,018",2
"29,83","34,80","10,100","1,061","7,487","0,018","0,012",2
"24,86","62,25","9,480","1,667","6,900","0,012","0,012",2
"23,15","54,81","14,172","1,073","8,616","0,003","0,008",2
"23,81","43,32","9,082","1,097","6,909","0,020","0,002",2
"20,18","66,64","13,784","1,516","8,635","0,020","0,015",2
"25,04","77,46","1,303","1,732","8,608","0,016","0,017",2
"21,27","78,29","1,376","1,284","7,711","0,008","0,007",2
"23,05","71,42","0,930","1,985","8,435","0,013","0,017",2
"22,56","39,49","1,408","1,579","8,614","0,003","0,016",2
"20,02","69,22","12,903","1,937","7,499","0,010","0,004",2
"17,72","28,15","6,598","7,474","6,003","0,047","0,034",2
"17,00","17,80","5,284","10,860","6,195","0,028","1,384",2
"34,12","21,55","7,540","12,810","9,456","0,049","0,339",2
"17,68","21,37","5,922","8,508","6,155","0,035","1,524",2
"32,28","27,44","5,230","13,335","9,274","0,032","0,429",2
"32,21","24,86","5,821","12,725","6,294","0,049","1,136",2
"32,97","20,40","7,116","10,123","6,474","0,041","1,482",2
"18,48","21,08","5,796","10,502","9,441","0,038","0,129",2
"32,06","20,01","7,617","7,465","6,424","0,049","1,662",2
"17,75","21,72","7,788","14,713","9,347","0,046","1,336",2
"16,52","23,43","5,800","6,833","9,191","0,031","1,706",2
"34,99","23,51","6,091","14,244","9,198","0,037","0,464",2
"18,34","28,73","7,451","6,990","6,032","0,028","1,090",2
"19,77","25,17","5,326","12,896","6,134","0,037","1,640",2
"18,17","18,65","5,612","10,407","6,140","0,038","1,740",2
"15,86","29,43","6,119","14,542","6,081","0,048","1,687",2
"30,09","23,79","7,308","9,781","6,468","0,034","0,844",2
"30,47","28,46","5,328","7,860","6,086","0,027","1,174",2
"16,02","18,44","7,846","11,895","9,303","0,041","0,829",2
"30,13","21,44","7,420","13,354","6,377","0,047","1,218",2
"16,61","28,92","6,737","13,567","6,301","0,048","1,658",2
"19,38","24,25","5,093","8,481","9,360","0,037","0,123",2
"16,48","27,90","7,759","6,369","9,089","0,043","0,780",2
"15,64","20,37","6,273","10,036","6,188","0,038","1,457",2
"31,44","23,29","5,856","14,753","9,265","0,038","1,053",2
"19,40","23,24","5,719","12,451","6,357","0,047","0,248",2
"15,50","26,23","6,384","10,424","6,389","0,041","0,814",2
"34,47","24,11","6,856","10,902","6,442","0,034","1,144",2
"16,81","22,57","5,011","8,594","6,111","0,039","0,614",2
"31,96","16,63","7,093","7,493","9,215","0,039","0,497",2
"31,35","22,55","7,784","11,910","9,387","0,039","1,766",2
"34,14","24,03","7,505","10,559","6,340","0,033","0,725",2
"31,97","27,79","6,849","14,591","9,399","0,040","0,875",2
"34,63","15,08","6,626","11,673","9,050","0,030","0,312",2
"30,48","26,82","7,182","13,952","6,351","0,027","1,579",2
"16,40","25,42","7,029","13,632","6,116","0,045","0,810",2
"32,28","26,67","6,693","9,175","9,225","0,033","1,939",2
"16,58","19,00","7,670","12,815","6,367","0,047","0,800",2
"32,15","21,91","5,135","9,819","6,109","0,047","1,701",2
"16,55","27,45","7,708","14,018","6,382","0,040","0,445",2
"32,14","21,61","6,591","8,031","9,367","0,044","1,713",2
"16,96","15,93","6,153","11,180","6,038","0,026","0,688",2
"30,54","26,46","5,859","7,242","6,312","0,043","0,158",2
"30,11","29,08","6,256","6,904","6,091","0,043","0,122",2
"17,74","15,21","7,678","9,969","6,422","0,025","1,562",2
"34,41","15,75","5,943","12,120","9,405","0,035","1,320",2
"33,86","16,23","7,644","9,692","9,415","0,030","0,051",2
